,logFC,logCPM,F,PValue,FDR,gene_symbol,cell_type
IFIT3,-4.415284444951394,6.346226276517572,169.7736961262515,6.216328016713636e-10,3.1236939444815233e-06,IFIT3,NK_cells
MX1,-4.524720850746084,6.883944883256169,168.53767066386337,6.559041509161639e-10,3.1236939444815233e-06,MX1,NK_cells
ISG15,-3.1733860043106725,8.57593443346387,162.89385552014352,8.419660227713001e-10,3.1236939444815233e-06,ISG15,NK_cells
IFI6,-2.740889251568871,7.752868670417711,146.7821667663097,1.7987084717030223e-09,5.004906322513659e-06,IFI6,NK_cells
XAF1,-2.1172420484471015,6.944051347687503,132.2962355000889,3.808122686745261e-09,7.760988742114374e-06,XAF1,NK_cells
IFI35,-2.9520174783815087,5.834955433726353,130.57321442878404,4.1838214243204175e-09,7.760988742114374e-06,IFI35,NK_cells
H1FX,1.8260753757388197,8.806773167008041,123.52152628775089,6.223132047331022e-09,9.894779955256326e-06,H1FX,NK_cells
M6PR,1.421909566080236,6.95522056680328,119.74832838166523,7.761029876832127e-09,1.0392213566052738e-05,M6PR,NK_cells
ISG20,-2.280306131617728,8.02163666259161,118.4149838681497,8.40340719626906e-09,1.0392213566052738e-05,ISG20,NK_cells
STMN1,2.3099244068307967,7.594762432693093,108.26572295914552,1.5821635804234067e-08,1.7609480650112515e-05,STMN1,NK_cells
ETFB,1.3234315069505154,6.593614603197593,104.26736992634964,2.0595887959240595e-08,2.0839293907849804e-05,ETFB,NK_cells
H2AFJ,1.8168145771666078,6.504719747004574,99.72811586361703,2.8090375132126485e-08,2.6053822935047315e-05,H2AFJ,NK_cells
PARP14,-2.401695798587366,6.424160092860012,97.52266000897819,3.280804489604801e-08,2.8088733822539568e-05,PARP14,NK_cells
IFIT1,-4.179525690491225,6.07508772587248,93.09723115317263,4.522265667881704e-08,3.526243394523318e-05,IFIT1,NK_cells
HLA-E,-1.4919471821717007,9.92356800199898,92.1609214207379,4.8481519226945074e-08,3.526243394523318e-05,HLA-E,NK_cells
SAMD9L,-2.116339900535603,6.581619872251888,91.33276576153176,5.158540373174085e-08,3.526243394523318e-05,SAMD9L,NK_cells
MX2,-4.313321499137913,6.619529650216616,90.76071654441363,5.3859962000805384e-08,3.526243394523318e-05,MX2,NK_cells
APOL6,-2.066013400579258,6.511827072482908,89.34418525296059,5.999421000405351e-08,3.7096419852506425e-05,APOL6,NK_cells
IL27RA,-2.672088155698917,5.425155169367667,87.28881859894612,7.034342825057135e-08,4.120643981204522e-05,IL27RA,NK_cells
GCHFR,1.727921143282748,6.2297460436595,83.58227490561767,9.450454995480687e-08,5.259178204985002e-05,GCHFR,NK_cells
RASAL3,-1.8928770910947637,5.2977539059796115,81.64165721659806,1.1079735859759785e-07,5.457438545649775e-05,RASAL3,NK_cells
IFI44L,-4.022626878942175,6.9197747513163845,81.00231698663814,1.1684001330113174e-07,5.457438545649775e-05,IFI44L,NK_cells
IRF7,-2.642201643316657,5.606221291711153,80.96891430526922,1.171657620842009e-07,5.457438545649775e-05,IRF7,NK_cells
HMGN2,-1.2675949808904576,7.621300506520599,80.91633312941931,1.176806155396178e-07,5.457438545649775e-05,HMGN2,NK_cells
RSAD2,-3.871360157941924,5.513659429705944,77.25631818026496,1.6065317147683674e-07,6.9478905263523e-05,RSAD2,NK_cells
ARL6IP4,1.465869302419549,7.115983115535974,77.00797359921319,1.6415566231354364e-07,6.9478905263523e-05,ARL6IP4,NK_cells
FGD3,-2.0768607493434947,5.847108735071043,76.70488474523364,1.6854720953415282e-07,6.9478905263523e-05,FGD3,NK_cells
SLTM,-1.4924352354857935,6.51379492978225,74.12222619146235,2.11832244366295e-07,8.08781518476431e-05,SLTM,NK_cells
EPSTI1,-3.635295641296557,6.489802635013848,73.72443576074623,2.1955227858424522e-07,8.08781518476431e-05,EPSTI1,NK_cells
EIF2AK2,-2.1211306935469745,6.706180051113678,73.47741816545611,2.2450538007236752e-07,8.08781518476431e-05,EIF2AK2,NK_cells
RPA3,1.2042200392831464,6.68078754257444,73.4399752552545,2.252670896025998e-07,8.08781518476431e-05,RPA3,NK_cells
DAD1,1.026036044714815,8.2794838996689,71.90779354124862,2.590797387456195e-07,8.832525217041906e-05,DAD1,NK_cells
TMEM256,1.4012439978376723,6.8409383832882185,71.79108599764221,2.6188080158345277e-07,8.832525217041906e-05,TMEM256,NK_cells
CTSS,-1.6855009453202605,6.794446155039976,69.41441127875255,3.270430779592285e-07,0.00010705851346135921,CTSS,NK_cells
ACADVL,1.3630398722882833,5.667534400503374,67.90517751021072,3.778421775651605e-07,0.000118208345162804,ACADVL,NK_cells
IFITM3,-2.1627234346665287,6.115239323772868,67.78255187684843,3.823450517395277e-07,0.000118208345162804,IFITM3,NK_cells
HIST1H1C,1.1940465458015777,7.461233533352896,66.36215709174115,4.391521185877407e-07,0.00013210170486166364,HIST1H1C,NK_cells
NMI,-2.0243216969936833,6.1055662780112385,64.21514133580432,5.439768619702913e-07,0.0001593279598349827,NMI,NK_cells
METRN,1.9597738348491427,6.001446858633886,63.52992101984221,5.831542110767453e-07,0.00016642324023805576,METRN,NK_cells
TRIM22,-1.4231254934237743,7.076893806195397,59.98576630529103,8.440158739329354e-07,0.00023003011860618346,TRIM22,NK_cells
TCF25,-1.1198546758208117,7.049685265374814,59.7089473446255,8.693827555793073e-07,0.00023003011860618346,TCF25,NK_cells
HMG20B,1.9369122936163121,5.2728444494444275,59.4684027477972,8.921237962005005e-07,0.00023003011860618346,HMG20B,NK_cells
IFITM2,-1.4697275434729322,8.3178142155163,59.461700827864625,8.927669111807602e-07,0.00023003011860618346,IFITM2,NK_cells
TSPO,1.1762833642342811,7.547477434906647,59.290502124544595,9.093733350109678e-07,0.00023003011860618346,TSPO,NK_cells
EMP3,-1.341746721036898,8.760627701712782,58.08145654972312,1.0370563130320604e-06,0.00025649859475659626,EMP3,NK_cells
DDX58,-2.1970114151409925,5.259403897814101,57.482163145909325,1.1077407031736576e-06,0.0002680250875287567,DDX58,NK_cells
HSD17B8,2.5842988868648846,5.00499919707254,56.75321752590083,1.201133805365438e-06,0.00028152892763113794,HSD17B8,NK_cells
MRPS34,1.012441799270362,7.086376923020438,56.25681661237658,1.269802701130704e-06,0.00028152892763113794,MRPS34,NK_cells
ETHE1,1.5019067744602248,5.942400163777267,56.11383788684526,1.290393209569181e-06,0.00028152892763113794,ETHE1,NK_cells
PARP9,-2.2241819538762817,5.851755622272652,55.91655976247218,1.319423228112792e-06,0.00028152892763113794,PARP9,NK_cells
SPON2,-2.6350113976007594,4.533667861280043,55.88998082179503,1.323390284806392e-06,0.00028152892763113794,SPON2,NK_cells
CTNNAL1,3.1492662269413114,3.7317253911602024,55.62695865982128,1.3633799881910176e-06,0.00028152892763113794,CTNNAL1,NK_cells
TKT,1.3534603401297318,6.792078149917234,55.62660422628885,1.3634347856533091e-06,0.00028152892763113794,TKT,NK_cells
PPA1,1.670190781708625,8.071319720529441,55.610620476191826,1.3659085437629335e-06,0.00028152892763113794,PPA1,NK_cells
HERC6,-3.5897702498664548,4.283051978161483,55.187283536865166,1.43330228834623e-06,0.0002897563196193014,HERC6,NK_cells
GPX4,0.9528480237239934,8.515462982934814,55.038363467293834,1.4578934320467996e-06,0.0002897563196193014,GPX4,NK_cells
HIST1H1B,2.8266772593150264,4.218277174505814,53.56472980930107,1.7286080541472908e-06,0.00033753346741507626,HIST1H1B,NK_cells
C1ORF35,1.1786329384596497,5.7875671328893095,52.873410738057885,1.8747818231956022e-06,0.0003576031944700437,C1ORF35,NK_cells
ZBTB1,-1.3925187564754773,5.729675197317752,52.603267932450755,1.935642007752078e-06,0.0003576031944700437,ZBTB1,NK_cells
OAS1,-2.357535649129241,5.4981457133174745,52.533651926079635,1.951683964833635e-06,0.0003576031944700437,OAS1,NK_cells
ADAR,-0.9874136912771286,6.833392186171671,52.39522181548934,1.984029707932789e-06,0.0003576031944700437,ADAR,NK_cells
TALDO1,1.0895294798267938,7.193832006828494,52.23814350134055,2.021465795065649e-06,0.0003576031944700437,TALDO1,NK_cells
DDX60,-2.8597979626501564,5.1618850202287065,52.226927975909234,2.0241690253021343e-06,0.0003576031944700437,DDX60,NK_cells
CACYBP,1.1739346748438257,6.9284180969845455,51.9573743836923,2.090378509093249e-06,0.00035841892989546764,CACYBP,NK_cells
ATP5MC3,0.9643598276965526,8.206715716611622,51.94613243109927,2.0931923129564596e-06,0.00035841892989546764,ATP5MC3,NK_cells
PLSCR1,-1.7317477203518847,5.716863703407388,50.87751004762999,2.3812038826552076e-06,0.0004015575638477645,PLSCR1,NK_cells
S100A6,-1.500834789287528,9.26509055337637,50.238388499255684,2.574660142237872e-06,0.00042770100571802263,S100A6,NK_cells
SRI,0.9356099511192393,7.23539223082982,49.859245355044514,2.6977549367544444e-06,0.00044155900655995544,SRI,NK_cells
TMEM141,1.503251616074272,5.659973240244726,49.621534552917716,2.778305439654767e-06,0.0004434520215877343,TMEM141,NK_cells
