,logFC,logCPM,F,PValue,FDR,gene_symbol,cell_type
IFIT3,-3.11396195605341,6.346226276517572,300.3680592817257,8.653453071453109e-12,6.981811230814044e-08,IFIT3,T_cells_CD4
XAF1,-2.2271535758585004,6.944051347687503,264.10570878202867,2.2979224513604448e-11,6.981811230814044e-08,XAF1,T_cells_CD4
ADI1,-3.079806668377712,5.169683251052132,263.714016254447,2.323869865244365e-11,6.981811230814044e-08,ADI1,T_cells_CD4
IL27RA,-2.3083311891097873,5.425155169367667,251.4813751599025,3.3270271502702693e-11,6.981811230814044e-08,IL27RA,T_cells_CD4
SYTL3,-2.6416711058235403,5.523077314180051,250.07441554957134,3.470867038993021e-11,6.981811230814044e-08,SYTL3,T_cells_CD4
DNAJB1,-1.777843639123769,6.35804759826801,247.40189192064628,3.763779639252854e-11,6.981811230814044e-08,DNAJB1,T_cells_CD4
HERC6,-3.310731235501731,4.283051978161483,240.93833749278082,4.594374703759864e-11,7.305055778978184e-08,HERC6,T_cells_CD4
CTNNAL1,3.0903226261350603,3.7317253911602024,224.77001241547205,7.741363835562945e-11,9.809310898088976e-08,CTNNAL1,T_cells_CD4
IFI35,-2.2575682246164916,5.834955433726353,224.04135748327622,7.932057329991085e-11,9.809310898088976e-08,IFI35,T_cells_CD4
METRN,2.7303605849713453,6.001446858633886,208.0459054571533,1.3799889334208e-10,1.5359276828973503e-07,METRN,T_cells_CD4
RASAL3,-1.8051471465918514,5.2977539059796115,201.61947267686836,1.7433741791324508e-10,1.7639776921585615e-07,RASAL3,T_cells_CD4
MX1,-2.6009894771727553,6.883944883256169,193.89925793601333,2.3302492706611e-10,2.16130619853817e-07,MX1,T_cells_CD4
RSAD2,-2.8437202441745333,5.513659429705944,183.1060688410506,3.561307757203725e-10,3.049027333667497e-07,RSAD2,T_cells_CD4
PMF1,-2.1073397489523846,4.812356177533801,180.42600015260268,3.9710563542328396e-10,3.1569898016151077e-07,PMF1,T_cells_CD4
MX2,-3.0702838429938546,6.619529650216616,178.40665686263654,4.3149222194651526e-10,3.201672286843143e-07,MX2,T_cells_CD4
ECHDC2,-2.7344786675774624,3.8495006932018,174.84307690886465,5.00667839666005e-10,3.4827706596766477e-07,ECHDC2,T_cells_CD4
TM7SF2,2.3306845779521805,4.4178164623966385,166.13454332046925,7.287968033708241e-10,4.572570472463812e-07,TM7SF2,T_cells_CD4
HSP90AA1,-1.7079794765419756,9.796708926124213,165.80458166235832,7.394992677839049e-10,4.572570472463812e-07,HSP90AA1,T_cells_CD4
FGD3,-1.5896053034927156,5.847108735071043,161.58653096236316,8.931152696880665e-10,5.158432225173475e-07,FGD3,T_cells_CD4
IFIT1,-2.6601995444449917,6.07508772587248,160.7674053357608,9.269419991326999e-10,5.158432225173475e-07,IFIT1,T_cells_CD4
IFI44L,-3.285175290051828,6.9197747513163845,159.5522801561504,9.798102148579396e-10,5.19299413874708e-07,IFI44L,T_cells_CD4
TRIM22,-1.800108180292634,7.076893806195397,149.90609581657216,1.5436431949316014e-09,7.809431254358511e-07,TRIM22,T_cells_CD4
STMN1,2.4573650580273667,7.594762432693093,148.73802780991485,1.6339216576134448e-09,7.90676002140767e-07,STMN1,T_cells_CD4
IRF7,-2.029019932353981,5.606221291711153,145.6802683717561,1.899736276146885e-09,8.810026980631179e-07,IRF7,T_cells_CD4
PGP,1.3401270857078653,6.322336910026152,143.28565613166367,2.1420742422782884e-09,9.536514526622939e-07,PGP,T_cells_CD4
HIST1H1B,3.197811516133159,4.218277174505814,138.1165847812039,2.7933884205336643e-09,1.167722914768893e-06,HIST1H1B,T_cells_CD4
DDX60,-2.168401857544271,5.1618850202287065,135.62605879921347,3.184787213372067e-09,1.167722914768893e-06,DDX60,T_cells_CD4
DPEP2,-2.485955882270585,4.035300553002434,134.9715962925606,3.2976297199836197e-09,1.167722914768893e-06,DPEP2,T_cells_CD4
